policy,kind,order_ret_excel,order_level_ret_mean,flow_fill_rate,terminal_rolling_fill_rate_4w,ret_garrido2024_sigmoid_mean,assembly_cost_index,order_service_loss_auc_per_order,order_ctj_p99,order_rpj_p99,order_dpj_p99,pareto_nondominated_ret_cost_tail_flow
S2_op10_0.75_op12_1.25,dense_static,0.0039759502126279,0.0038238907294908,0.3701556560216963,0.6883515149354935,0.5892476036087657,0.6666666666666666,6521806.010578266,8051.076821782364,2118.327417166347,8051.076821782364,False
S2_op10_0.75_op12_2.50,dense_static,0.0039640430819296,0.0038125800367603,0.3560613067309461,0.6142911558349928,0.589969498955067,0.6666666666666666,6499003.704077962,9018.320152409906,2268.735661720375,9018.320152409906,False
S1_op10_0.75_op12_1.50,dense_static,0.0039581251976967,0.0038082614837633,0.353938635105423,0.6363121872146924,0.3265162716429778,0.3333333333333333,6660390.5375744235,7593.215480759497,2079.0038120895283,7593.215480759497,False
S2_op10_0.75_op12_2.00,dense_static,0.0039569124416397,0.0038059666207385,0.353085104229737,0.63842087884744,0.5896645014559152,0.6666666666666666,6511287.099896982,8452.914625237072,2277.5613892677397,8452.914625237072,False
S1_op10_0.75_op12_2.00,dense_static,0.0039536153722213,0.0038035641740422,0.3478212959168542,0.5897144883871078,0.3314632640650874,0.3333333333333333,6542335.303215529,8724.558706661624,2169.042915457918,8724.558706661624,False
S3_op10_0.75_op12_1.00,dense_static,0.003953139625486,0.0038018444102373,0.3660799344064812,0.6319408218065897,0.6806188602176597,1.0,6403862.08302026,9349.975728421125,2414.466842947289,9349.975728421125,False
S1_op10_1.00_op12_0.75,dense_static,0.0039406876114045,0.0037903177631578,0.3677277720095254,0.5886733829975128,0.3191066932202746,0.3333333333333333,6745287.437338755,7711.897171773938,2031.116005739187,7711.897171773938,False
S2_op10_0.75_op12_1.00,dense_static,0.0039343859084727,0.0037853198613343,0.3693676435222461,0.6337623710433642,0.5847010509134433,0.6666666666666666,6592055.07555368,7820.434701639133,2196.2255248010724,7820.434701639133,False
S3_op10_0.75_op12_1.25,dense_static,0.0039352288688039,0.0037848951851423,0.356854584349768,0.6925262133280435,0.6804352517341256,1.0,6538411.977697572,8436.739641798253,2349.661911726667,8436.739641798253,False
S1_op10_0.75_op12_1.00,dense_static,0.0039336606650826,0.0037845076200793,0.3619280946380453,0.6671925281484922,0.3220182843134048,0.3333333333333333,6577567.531059526,8629.587312383483,2270.8430834215205,8629.587312383483,False
S1_op10_0.75_op12_1.25,dense_static,0.0039175232483715,0.0037716458474296,0.3543177791238333,0.6187732875347137,0.3214565352484337,0.3333333333333333,6754106.743757479,6770.898097020121,1920.8840392552925,6770.898097020121,False
