family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,I504,2,700014,0.00844712079955768,696,694,0,0.9972489607858476,880703.0,62188.0,96.0,50.0
R1,I504,3,700014,0.008408095392989949,696,694,0,0.9972484772685324,935125.0,62224.0,144.0,46.0
R1,I672,1,700014,0.008693858371165894,696,694,0,0.9972484044988642,863258.0,62060.0,48.0,74.0
R1,I672,2,700014,0.00861131130215021,696,694,0,0.9972479708331198,880703.0,62188.0,96.0,50.0
R1,I672,3,700014,0.008770861672553296,696,694,0,0.9972487440577223,868201.0,62224.0,144.0,46.0
R1,I1344,1,700014,0.008693858371165894,696,694,0,0.9972484044988642,863258.0,62060.0,48.0,74.0
R1,I1344,2,700014,0.00861131130215021,696,694,0,0.9972479708331198,880703.0,62188.0,96.0,50.0
R1,I1344,3,700014,0.008443078622748634,696,694,0,0.997247916236137,865887.0,59643.0,144.0,46.0
R1,B0,1,700015,0.005513566586885096,696,462,176,0.6683309123776293,18066304.0,154388.0,48.0,960.0
R1,B0,2,700015,0.008911808307354087,696,694,0,0.9972949390628173,1666968.0,83055.0,96.0,927.0
R1,B0,3,700015,0.008763694237719919,696,694,0,0.9972986875787698,1643719.0,80638.0,144.0,933.0
